T_Set,Thermostate_Switch,T_Room
19,0,19.0811
19,0,19.063
19,0,19.0448
19,0,19.0265
19,0,19.0082
19,0,18.9898
19,0,18.9714
19,0,18.9528
19,0,18.9343
19,0,18.9157
19,0,18.897
19,0,18.8783
19,0,18.8595
19,0,18.8407
19,0,18.8219
19,0,18.803
19,0,18.784
19,0,18.765
19,0,18.746
19,0,18.7269
19,0,18.7078
19,0,18.6886
19,0,18.6694
19,0,18.6502
19,0,18.6309
19,0,18.6116
19,0,18.5923
19,0,18.5729
19,0,18.5535
19,0,18.5341
19,0,18.5146
19,0,18.4951
19,1,18.4756
19,1,18.4595
19,1,18.4466
19,1,18.437
19,1,18.4306
19,1,18.4274
19,1,18.4273
19,1,18.4303
19,1,18.4362
19,1,18.4451
19,1,18.4567
19,1,18.4707
19,1,18.4868
19,1,18.505
19,1,18.5248
19,1,18.5462
19,1,18.5691
19,1,18.5932
19,1,18.6185
19,1,18.6447
19,1,18.6719
19,1,18.6999
19,1,18.7285
19,1,18.7578
19,1,18.7876
19,1,18.8179
19,1,18.8486
19,1,18.8797
19,1,18.9111
19,1,18.9427
19,1,18.9745
19,1,19.0065
19,1,19.0393
19,1,19.0721
19,1,19.105
19,1,19.1379
19,1,19.1709
19,1,19.2039
19,1,19.2368
19,1,19.2697
19,1,19.3026
19,1,19.3354
19,1,19.3681
19,1,19.4007
19,1,19.4334
19,1,19.466
19,1,19.4984
19,1,19.5308
19,0,19.563
19,0,19.5943
19,0,19.6249
19,0,19.6547
19,0,19.6836
19,0,19.7118
19,0,19.7392
19,0,19.7659
19,0,19.792
19,0,19.8174
19,0,19.842
19,0,19.866
19,0,19.8892
19,0,19.9117
19,0,19.9336
19,0,19.9547
19,0,19.9752
19,0,19.9951
19,0,20.0143
19,0,20.0328
19,0,20.0512
19,0,20.0689
19,0,20.086
19,0,20.1025
19,0,20.1184
19,0,20.1337
19,0,20.1485
19,0,20.1627
19,0,20.1763
19,0,20.1893
19,0,20.2019
19,0,20.2138
19,0,20.2257
19,0,20.237
19,0,20.2479
19,0,20.2582
19,0,20.268
19,0,20.2773
19,0,20.2862
19,0,20.2945
19,0,20.3024
19,0,20.3098
19,0,20.3168
19,0,20.3233
19,0,20.3295
19,0,20.3354
19,0,20.3408
19,0,20.3457
19,0,20.3503
19,0,20.3544
19,0,20.3581
19,0,20.3614
19,0,20.3644
19,0,20.3669
19,0,20.369
19,0,20.3708
19,0,20.3722
19,0,20.3732
19,0,20.3739
19,0,20.3742
19,0,20.3742
19,0,20.3738
19,0,20.3731
19,0,20.372
19,0,20.3706
19,0,20.3689
19,0,20.3668
19,0,20.3645
19,0,20.3618
19,0,20.3589
19,0,20.3556
19,0,20.352
19,0,20.3482
19,0,20.344
19,0,20.3396
19,0,20.3349
19,0,20.3299
19,0,20.3247
19,0,20.3192
19,0,20.3134
19,0,20.3074
19,0,20.3011
19,0,20.2945
19,0,20.2878
19,0,20.2808
19,0,20.2735
19,0,20.266
19,0,20.2583
19,0,20.2503
19,0,20.2422
19,0,20.2338
19,0,20.2252
19,0,20.2164
19,0,20.2074
19,0,20.1982
19,0,20.1887
19,0,20.1791
19,0,20.1693
19,0,20.1593
19,0,20.1491
19,0,20.1387
19,0,20.1282
19,0,20.1174
19,0,20.1065
19,0,20.0954
19,0,20.0841
19,0,20.0727
19,0,20.0611
19,0,20.0494
19,0,20.0375
19,0,20.0254
